сейчас, 92, 0.0369561
давно, 91, 0.0365544
комнату, 91, 0.0365544
такой, 90, 0.0361527
234, 90, 0.0361527
дверь, 90, 0.0361527
c, 90, 0.0361527
сделать, 90, 0.0361527
очевидно, 90, 0.0361527
такое, 89, 0.035751
bourienne, 89, 0.035751
приехал, 89, 0.035751
этим, 89, 0.035751
одного, 88, 0.0353493
pas, 88, 0.0353493
нул, 88, 0.0353493
дыва, 88, 0.0353493
против, 88, 0.0353493
всю, 88, 0.0353493
lle, 87, 0.0349476
первый, 87, 0.0349476
можно, 87, 0.0349476
которым, 87, 0.0349476
продолжал, 87, 0.0349476
пошел, 86, 0.0345459
бог, 86, 0.0345459
нам, 86, 0.0345459
куда, 85, 0.0341442
сделал, 85, 0.0341442
собой, 85, 0.0341442
un, 85, 0.0341442
представл, 85, 0.0341442
сме, 84, 0.0337425
три, 83, 0.0333408
павловна, 83, 0.0333408
сына, 83, 0.0333408
зачем, 83, 0.0333408
голосом, 83, 0.0333408
тел, 83, 0.0333408
комнате, 83, 0.0333408
если, 83, 0.0333408
лась, 82, 0.0329391
сидел, 82, 0.0329391
мила, 82, 0.0329391
молодой, 82, 0.0329391
чувствовал, 82, 0.0329391
дес, 82, 0.0329391
лись, 82, 0.0329391
никто, 82, 0.0329391
нынче, 81, 0.0325374
москве, 81, 0.0325374
проговорил, 81, 0.0325374
впереди, 81, 0.0325374
почти, 81, 0.0325374
лучше, 80, 0.0321357
ce, 80, 0.0321357
одной, 80, 0.0321357
тотчас, 80, 0.0321357
денисова, 80, 0.0321357
времени, 80, 0.0321357
сын, 80, 0.0321357
закричал, 80, 0.0321357
своими, 79, 0.031734
выражение, 79, 0.031734
своему, 79, 0.031734
си, 79, 0.031734
тьс, 78, 0.0313323
лицом, 78, 0.0313323
nous, 78, 0.0313323
весело, 77, 0.0309307
таким, 77, 0.0309307
обраща, 76, 0.030529
сама, 76, 0.030529
люблю, 76, 0.030529
une, 76, 0.030529
наташи, 75, 0.0301273
андрею, 75, 0.0301273
вошел, 75, 0.0301273
ростовых, 75, 0.0301273
войска, 74, 0.0297256
me, 74, 0.0297256
глаз, 74, 0.0297256
думала, 74, 0.0297256
двух, 74, 0.0297256
сно, 74, 0.0297256
ехать, 74, 0.0297256
жны, 73, 0.0293239
весь, 73, 0.0293239
дмитриевна, 73, 0.0293239
остановилс, 73, 0.0293239
другие, 73, 0.0293239
ко, 73, 0.0293239
поехал, 72, 0.0289222
солдаты, 72, 0.0289222
ти, 72, 0.0289222
багратион, 72, 0.0289222
подле, 72, 0.0289222
слишком, 71, 0.0285205
знает, 71, 0.0285205
бо, 71, 0.0285205
ростову, 71, 0.0285205
голоса, 70, 0.0281188
руками, 70, 0.0281188
лошади, 70, 0.0281188
дн, 70, 0.0281188
болконский, 70, 0.0281188
других, 70, 0.0281188
быстро, 70, 0.0281188
армии, 70, 0.0281188
слово, 69, 0.0277171
бориса, 69, 0.0277171
наташе, 69, 0.0277171
наконец, 69, 0.0277171
стали, 69, 0.0277171
pour, 69, 0.0277171
отчего, 68, 0.0273154
доме, 68, 0.0273154
говорит, 68, 0.0273154
наташу, 68, 0.0273154
qui, 67, 0.0269137
минуты, 67, 0.0269137
буду, 67, 0.0269137
часто, 67, 0.0269137
старик, 67, 0.0269137
стара, 67, 0.0269137
кажетс, 67, 0.0269137
вид, 66, 0.026512
около, 66, 0.026512
долохова, 66, 0.026512
знать, 66, 0.026512
гостиной, 66, 0.026512
мимо, 66, 0.026512
улыбнулс, 66, 0.026512
стало, 65, 0.0261103
ma, 65, 0.0261103
en, 64, 0.0257086
увидал, 64, 0.0257086
должно, 64, 0.0257086
гор, 64, 0.0257086
крикнул, 63, 0.0253069
каждый, 63, 0.0253069
мать, 63, 0.0253069
императора, 63, 0.0253069
н, 63, 0.0253069
думаю, 63, 0.0253069
две, 63, 0.0253069
любви, 63, 0.0253069
молча, 63, 0.0253069
des, 63, 0.0253069
место, 62, 0.0249052
право, 62, 0.0249052
матери, 62, 0.0249052
ло, 62, 0.0249052
берг, 61, 0.0245035
правда, 61, 0.0245035
прибавил, 61, 0.0245035
какое, 61, 0.0245035
женщины, 60, 0.0241018
андреич, 60, 0.0241018
t, 60, 0.0241018
точно, 60, 0.0241018
знаешь, 60, 0.0241018
жело, 60, 0.0241018
увидав, 60, 0.0241018
стороны, 60, 0.0241018
этому, 60, 0.0241018
головой, 59, 0.0237001
говорю, 59, 0.0237001
года, 59, 0.0237001
жюли, 59, 0.0237001
французов, 59, 0.0237001
выражением, 59, 0.0237001
дать, 59, 0.0237001
стала, 59, 0.0237001
марьи, 59, 0.0237001
видом, 59, 0.0237001
завтра, 58, 0.0232984
кутузова, 58, 0.0232984
бонапарте, 58, 0.0232984
ноги, 58, 0.0232984
наш, 58, 0.0232984
разве, 58, 0.0232984
таки, 57, 0.0228967
всей, 57, 0.0228967
вечер, 57, 0.0228967
кака, 57, 0.0228967
нно, 57, 0.0228967
анатол, 57, 0.0228967
указыва, 57, 0.0228967
начал, 56, 0.022495
скоро, 56, 0.022495
го, 56, 0.022495
нулс, 56, 0.022495
знала, 55, 0.0220933
e, 55, 0.0220933
иногда, 55, 0.0220933
невольно, 55, 0.0220933
гостей, 55, 0.0220933
ch, 55, 0.0220933
рукой, 55, 0.0220933
вопрос, 55, 0.0220933
видела, 55, 0.0220933
брат, 55, 0.0220933
вами, 55, 0.0220933
жела, 55, 0.0220933
полк, 55, 0.0220933
верно, 54, 0.0216916
ч, 54, 0.0216916
наполеон, 54, 0.0216916
свете, 54, 0.0216916
несвицкий, 54, 0.0216916
кричал, 54, 0.0216916
